
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:22350        QW:53032               ESTABLISHED
  TCP    127.0.0.1:50592        QW:50593               ESTABLISHED
  TCP    127.0.0.1:50593        QW:50592               ESTABLISHED
  TCP    127.0.0.1:50597        QW:50598               ESTABLISHED
  TCP    127.0.0.1:50598        QW:50597               ESTABLISHED
  TCP    127.0.0.1:50614        QW:50615               ESTABLISHED
  TCP    127.0.0.1:50615        QW:50614               ESTABLISHED
  TCP    127.0.0.1:52946        QW:52947               ESTABLISHED
  TCP    127.0.0.1:52947        QW:52946               ESTABLISHED
  TCP    127.0.0.1:53032        QW:22350               ESTABLISHED
  TCP    127.0.0.1:53049        QW:53050               ESTABLISHED
  TCP    127.0.0.1:53050        QW:53049               ESTABLISHED
  TCP    127.0.0.1:53051        QW:53052               ESTABLISHED
  TCP    127.0.0.1:53052        QW:53051               ESTABLISHED
  TCP    127.0.0.1:53054        QW:53055               ESTABLISHED
  TCP    127.0.0.1:53055        QW:53054               ESTABLISHED
  TCP    127.0.0.1:53121        QW:53122               ESTABLISHED
  TCP    127.0.0.1:53122        QW:53121               ESTABLISHED
  TCP    127.0.0.1:53135        QW:53136               ESTABLISHED
  TCP    127.0.0.1:53136        QW:53135               ESTABLISHED
  TCP    127.0.0.1:53285        QW:53286               ESTABLISHED
  TCP    127.0.0.1:53286        QW:53285               ESTABLISHED
  TCP    127.0.0.1:53329        QW:53330               ESTABLISHED
  TCP    127.0.0.1:53330        QW:53329               ESTABLISHED
  TCP    127.0.0.1:53331        QW:53332               ESTABLISHED
  TCP    127.0.0.1:53332        QW:53331               ESTABLISHED
  TCP    127.0.0.1:53340        QW:53341               ESTABLISHED
  TCP    127.0.0.1:53341        QW:53340               ESTABLISHED
  TCP    127.0.0.1:53396        QW:53397               ESTABLISHED
  TCP    127.0.0.1:53397        QW:53396               ESTABLISHED
  TCP    127.0.0.1:53890        QW:53891               ESTABLISHED
  TCP    127.0.0.1:53891        QW:53890               ESTABLISHED
  TCP    127.0.0.1:53892        QW:53893               ESTABLISHED
  TCP    127.0.0.1:53893        QW:53892               ESTABLISHED
  TCP    127.0.0.1:53894        QW:53895               ESTABLISHED
  TCP    127.0.0.1:53895        QW:53894               ESTABLISHED
  TCP    127.0.0.1:53897        QW:53898               ESTABLISHED
  TCP    127.0.0.1:53898        QW:53897               ESTABLISHED
  TCP    127.0.0.1:53900        QW:53901               ESTABLISHED
  TCP    127.0.0.1:53901        QW:53900               ESTABLISHED
  TCP    127.0.0.1:53908        QW:53909               ESTABLISHED
  TCP    127.0.0.1:53909        QW:53908               ESTABLISHED
  TCP    127.0.0.1:53910        QW:53911               ESTABLISHED
  TCP    127.0.0.1:53911        QW:53910               ESTABLISHED
  TCP    127.0.0.1:53912        QW:53913               ESTABLISHED
  TCP    127.0.0.1:53913        QW:53912               ESTABLISHED
  TCP    127.0.0.1:53914        QW:53915               ESTABLISHED
  TCP    127.0.0.1:53915        QW:53914               ESTABLISHED
  TCP    127.0.0.1:53916        QW:53917               ESTABLISHED
  TCP    127.0.0.1:53917        QW:53916               ESTABLISHED
  TCP    127.0.0.1:53918        QW:53919               ESTABLISHED
  TCP    127.0.0.1:53919        QW:53918               ESTABLISHED
  TCP    127.0.0.1:53920        QW:53921               ESTABLISHED
  TCP    127.0.0.1:53921        QW:53920               ESTABLISHED
  TCP    127.0.0.1:53932        QW:53933               ESTABLISHED
  TCP    127.0.0.1:53933        QW:53932               ESTABLISHED
  TCP    127.0.0.1:53934        QW:53935               ESTABLISHED
  TCP    127.0.0.1:53935        QW:53934               ESTABLISHED
  TCP    127.0.0.1:53936        QW:53937               ESTABLISHED
  TCP    127.0.0.1:53937        QW:53936               ESTABLISHED
  TCP    127.0.0.1:53940        QW:53941               ESTABLISHED
  TCP    127.0.0.1:53941        QW:53940               ESTABLISHED
  TCP    127.0.0.1:53946        QW:53947               ESTABLISHED
  TCP    127.0.0.1:53947        QW:53946               ESTABLISHED
  TCP    127.0.0.1:53956        QW:53957               ESTABLISHED
  TCP    127.0.0.1:53957        QW:53956               ESTABLISHED
  TCP    127.0.0.1:53974        QW:53975               ESTABLISHED
  TCP    127.0.0.1:53975        QW:53974               ESTABLISHED
  TCP    192.168.20.4:7680      A4-18:63693            TIME_WAIT
  TCP    192.168.20.4:7680      A4-19:58084            TIME_WAIT
  TCP    192.168.20.4:7680      A4-19:58088            TIME_WAIT
  TCP    192.168.20.4:7680      A4-19:58091            TIME_WAIT
  TCP    192.168.20.4:7680      A4-04:62396            TIME_WAIT
  TCP    192.168.20.4:7680      A4-08:50216            TIME_WAIT
  TCP    192.168.20.4:52980     20.199.120.85:https    ESTABLISHED
  TCP    192.168.20.4:53064     ec2-54-187-160-31:https  ESTABLISHED
  TCP    192.168.20.4:53393     77:https               ESTABLISHED
  TCP    192.168.20.4:54208     227:https              ESTABLISHED
  TCP    192.168.20.4:54210     227:https              ESTABLISHED
  TCP    192.168.20.4:54507     A4-17:7680             ESTABLISHED
  TCP    192.168.20.4:54546     227:https              ESTABLISHED
  TCP    192.168.20.4:54569     a2-21-172-128:https    CLOSE_WAIT
  TCP    192.168.20.4:54570     a23-6-113-48:https     CLOSE_WAIT
  TCP    192.168.20.4:54572     a23-6-113-48:https     CLOSE_WAIT
  TCP    192.168.20.4:54574     a23-6-113-48:https     CLOSE_WAIT
  TCP    192.168.20.4:54586     ec2-52-57-231-46:https  TIME_WAIT
  TCP    192.168.20.4:54587     213.19.162.21:https    TIME_WAIT
  TCP    192.168.20.4:54590     ec2-52-74-93-131:https  TIME_WAIT
  TCP    192.168.20.4:54591     server-13-32-10-46:https  TIME_WAIT
  TCP    192.168.20.4:54592     218:https              TIME_WAIT
  TCP    192.168.20.4:54593     185.64.189.112:https   TIME_WAIT
  TCP    192.168.20.4:54594     lhr25s08-in-f130:https  TIME_WAIT
  TCP    192.168.20.4:54595     lhr25s09-in-f2:https   TIME_WAIT
  TCP    192.168.20.4:54596     mil04s43-in-f1:https   TIME_WAIT
  TCP    192.168.20.4:54597     104.22.24.74:https     TIME_WAIT
  TCP    192.168.20.4:54607     a-0001:https           ESTABLISHED
  TCP    192.168.20.4:54611     204.79.197.222:https   ESTABLISHED
  TCP    192.168.20.4:54614     13.107.6.254:https     ESTABLISHED
  TCP    192.168.20.4:54615     152.199.19.161:https   ESTABLISHED
  TCP    192.168.20.4:54616     13.107.18.254:https    ESTABLISHED
  TCP    192.168.20.4:54619     mil41s03-in-f4:http    TIME_WAIT
  TCP    192.168.20.4:54620     aspira:2096            ESTABLISHED
